schema_name,table_name,rls_enabled,rls_forced,policy_count
auth,audit_log_entries,t,f,0
auth,custom_oauth_providers,f,f,0
auth,flow_state,t,f,0
auth,identities,t,f,0
auth,instances,t,f,0
auth,mfa_amr_claims,t,f,0
auth,mfa_challenges,t,f,0
auth,mfa_factors,t,f,0
auth,oauth_authorizations,f,f,0
auth,oauth_client_states,f,f,0
auth,oauth_clients,f,f,0
auth,oauth_consents,f,f,0
auth,one_time_tokens,t,f,0
auth,refresh_tokens,t,f,0
auth,saml_providers,t,f,0
auth,saml_relay_states,t,f,0
auth,schema_migrations,t,f,0
auth,sessions,t,f,0
auth,sso_domains,t,f,0
auth,sso_providers,t,f,0
auth,users,t,f,0
auth,webauthn_challenges,f,f,0
auth,webauthn_credentials,f,f,0
public,blocked_handles,t,f,0
public,conversations,t,f,3
public,event_notifications,t,f,3
public,events,t,f,1
public,favorites,t,f,1
public,featured_sellers,t,f,1
public,follows,t,f,3
public,listings,t,f,5
public,messages,t,f,2
public,notice_posts,t,f,3
public,notice_reactions,t,f,3
public,profiles,t,f,3
public,reserved_handles,t,f,0
public,users,t,f,2
public,vendor_events,t,f,3
storage,buckets,t,f,0
storage,buckets_analytics,t,f,0
storage,buckets_vectors,t,f,0
storage,migrations,t,f,0
storage,objects,t,f,9
storage,s3_multipart_uploads,t,f,0
storage,s3_multipart_uploads_parts,t,f,0
storage,vector_indexes,t,f,0
